"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.172596375E0,-4.430786133E-2,6.256988525E-2,9.849517822E0,9.849816217E0
2.182642375E0,-3.802093506E-2,4.580474854E-2,9.919123077E0,9.919301704E0
2.192689375E0,-4.370910645E-2,5.448669434E-2,9.847871246E0,9.848118976E0
2.202735375E0,-3.308120728E-2,8.187973022E-2,9.831255798E0,9.831652416E0
2.212781375E0,-3.802093506E-2,6.810836792E-2,9.874366150E0,9.874674233E0
2.222827375E0,-4.894821167E-2,5.927673340E-2,9.886041870E0,9.886340755E0
2.232874375E0,-4.430786133E-2,6.930587769E-2,9.807904358E0,9.808249303E0
2.242920375E0,-4.445755005E-2,8.592132568E-2,9.790241089E0,9.790719051E0
2.252966375E0,-5.852828979E-2,7.065307617E-2,9.868677979E0,9.869104441E0
2.263013375E0,-7.708969116E-2,4.879852295E-2,9.860594788E0,9.861016869E0
2.273059375E0,-8.592132568E-2,6.092330933E-2,9.782906342E0,9.783473341E0
2.283105375E0,-7.304809570E-2,6.002517700E-2,9.840237122E0,9.840691320E0
2.293151375E0,-7.798782349E-2,3.876937866E-2,9.921967163E0,9.922349397E0
2.303198375E0,-7.080276489E-2,3.517684937E-2,9.839937744E0,9.840255345E0
2.313244375E0,-5.134323120E-2,4.550537109E-2,9.810299377E0,9.810539269E0
2.323290375E0,-5.313949585E-2,3.742218018E-2,9.911938019E0,9.912151104E0
2.333337375E0,-4.415817261E-2,3.577560425E-2,9.905651093E0,9.905814121E0
2.343383375E0,-3.592529297E-2,6.077362061E-2,9.824519806E0,9.824773457E0
2.353430292E0,-3.293151855E-2,7.379653931E-2,9.844129028E0,9.844460714E0
2.363476292E0,-3.951782227E-2,6.825805664E-2,9.925410004E0,9.925723377E0
2.373523292E0,-4.266128540E-2,6.391708374E-2,9.872420197E0,9.872719277E0
2.383569292E0,-4.520599365E-2,9.340576172E-2,9.822873230E0,9.823421334E0
2.393615292E0,-4.760101318E-2,9.011260986E-2,9.863887939E0,9.864414398E0
2.403662292E0,-5.972579956E-2,7.155120850E-2,9.903705139E0,9.904143690E0
2.413708292E0,-5.373825073E-2,8.652008057E-2,9.844129028E0,9.844655903E0
2.423754292E0,-5.313949585E-2,1.002914429E-1,9.809101868E0,9.809758490E0
2.433800292E0,-6.107299805E-2,9.026229858E-2,9.884395294E0,9.884996081E0
2.443847292E0,-6.735992432E-2,8.143066406E-2,9.892029419E0,9.892593914E0
2.453893292E0,-5.942642212E-2,8.173004150E-2,9.805359650E0,9.805880336E0
2.463939292E0,-6.556365967E-2,8.352630615E-2,9.830956421E0,9.831529860E0
2.473986292E0,-6.556365967E-2,6.661148071E-2,9.892777863E0,9.893219371E0
2.484032292E0,-7.125183105E-2,6.182144165E-2,9.829010468E0,9.829463133E0
